BMI (组),BMI,HR (组),HR,记录数,avg (组),avg,handedness,height,name,weight
Weighter(24-27),25.087770062,High(40-180),46,1,Median(0.2-0.28),.26,R,72,John Stearns,185
Normal(19-24),22.955102041,High(40-180),47,1,Median(0.2-0.28),.233,R,70,Larry Brown,160
Normal(19-24),22.375578704,Lower(0-10),4,1,Low(0-0.2),.18,R,72,Tommy Dean,165
Normal(19-24),23.995733333,Lower(0-10),0,1,No recorder(0),0,L,75,Bryan Oelkers,192
Weighter(24-27),25.033783784,Lower(0-10),0,1,No recorder(0),0,L,74,Kevin Bearse,195
Normal(19-24),23.053626543,Lower(0-10),0,1,Median(0.2-0.28),.243,B,72,Marty Martinez,170
Normal(19-24),23.75,Lower(0-10),10,1,Median(0.2-0.28),.263,L,74,Bruce Boisclair,185
Weighter(24-27),25.559210526,Excellent(>180),246,1,High(>0.28),.282,B,76,Ken Singleton,210
Normal(19-24),23.010315414,High(40-180),160,1,Median(0.2-0.28),.255,R,71,Frank White,165
Weighter(24-27),27.259183673,Lower(0-10),7,1,Median(0.2-0.28),.235,L,70,Jim Fairey,190
Normal(19-24),23.731674383,Lower(0-10),0,1,No recorder(0),0,R,72,Jose Roman,175
Normal(19-24),23.672448980,High(40-180),71,1,Median(0.2-0.28),.246,R,70,Tom Brookens,165
Normal(19-24),23.745543254,High(40-180),61,1,Median(0.2-0.28),.249,L,73,Gary Thomasson,180
Normal(19-24),23.745543254,Lower(0-10),0,1,No recorder(0),0,R,73,Mike Trujillo,180
Normal(19-24),23.125,Lower(0-10),0,1,No recorder(0),0,R,76,Albert Williams,190
Normal(19-24),20.934210526,Lower(0-10),0,1,No recorder(0),0,R,76,Oswaldo Peraza,172
Normal(19-24),23.053626543,High(40-180),78,1,Median(0.2-0.28),.251,R,72,Otto Velez,170
Normal(19-24),22.239969136,Median(10-40),17,1,Median(0.2-0.28),.249,B,72,Tony Scott,164
Normal(19-24),23.010315414,Median(10-40),15,1,Low(0-0.2),.175,R,71,Ray Oyler,165
Weighter(24-27),24.899645809,Lower(0-10),0,1,No recorder(0),0,R,77,Barry Cort,210
Weighter(24-27),25.840159630,High(40-180),67,1,High(>0.28),.283,L,69,Floyd Robinson,175
Weighter(24-27),25.102162269,Lower(0-10),5,1,Median(0.2-0.28),.21,B,71,Steve Jeltz,180
Normal(19-24),23.707597699,High(40-180),149,1,High(>0.28),.293,L,71,Lou Brock,170
Normal(19-24),22.955102041,Lower(0-10),0,1,No recorder(0),0,R,70,Bill Wilkinson,160
Weighter(24-27),25.087770062,Lower(0-10),4,1,Median(0.2-0.28),.216,B,72,Joe Lovitto,185
Weighter(24-27),25.559210526,Lower(0-10),0,1,No recorder(0),0,R,76,Mike Loynd,210
Weighter(24-27),25.107142857,Median(10-40),16,1,Median(0.2-0.28),.229,R,70,Wayne Comer,175
Weighter(24-27),24.404879984,Median(10-40),32,1,Median(0.2-0.28),.272,B,71,Dave Collins,175
Weighter(24-27),25.102162269,Median(10-40),39,1,Median(0.2-0.28),.238,R,71,Ed Spiezio,180
Normal(19-24),23.731674383,Excellent(>180),210,1,Median(0.2-0.28),.251,R,72,Rico Petrocelli,175
Weighter(24-27),24.932820417,Median(10-40),22,1,Median(0.2-0.28),.227,L,73,Johnny Lewis,189
Normal(19-24),21.421052632,Median(10-40),15,1,Median(0.2-0.28),.207,R,76,Dick Simpson,176
Normal(19-24),23.053626543,Median(10-40),31,1,Median(0.2-0.28),.248,L,72,Ken Boswell,170
Normal(19-24),23.745777778,High(40-180),156,1,Median(0.2-0.28),.248,R,75,Ken McMullen,190
Weighter(24-27),24.405141678,Lower(0-10),0,1,No recorder(0),0,B,73,Randy Scarbery,185
Weighter(24-27),26.317567568,Median(10-40),20,1,Median(0.2-0.28),.216,R,74,Steve Swisher,205
Weighter(24-27),25.907707098,Lower(0-10),0,1,No recorder(0),0,R,79,Ben Callahan,230
Normal(19-24),23.565095156,Median(10-40),16,1,Median(0.2-0.28),.248,R,68,Dick Howser,155
Normal(19-24),23.625288805,Lower(0-10),3,1,Median(0.2-0.28),.242,B,69,Manny Castillo,160
Normal(19-24),22.426346406,Lower(0-10),2,1,Median(0.2-0.28),.24,B,73,Mike Ramsey,170
Weighter(24-27),25.988177895,High(40-180),86,1,Median(0.2-0.28),.268,L,73,Willie Crawford,197
Weighter(24-27),26.217813926,Lower(0-10),0,1,No recorder(0),0,R,71,Bobby Cuellar,188
Weighter(24-27),25.087770062,Median(10-40),18,1,Median(0.2-0.28),.242,R,72,Willie Norwood,185
Weighter(24-27),24.843030901,Lower(0-10),0,1,No recorder(0),0,L,78,Mike Jones,215
Normal(19-24),23.731674383,Median(10-40),11,1,Median(0.2-0.28),.277,L,72,Jeff Stone,175
Normal(19-24),20.341435185,Lower(0-10),0,1,No recorder(0),0,R,72,Ramon Manon,150
Weighter(24-27),26.120097579,High(40-180),65,1,Median(0.2-0.28),.223,L,73,Joe Lahoud,198
Weighter(24-27),24.404879984,Lower(0-10),9,1,Median(0.2-0.28),.255,L,71,Tim Flannery,175
Weighter(24-27),25.724338525,Median(10-40),21,1,Median(0.2-0.28),.229,B,73,Dave McKay,195
Weighter(24-27),25.620444444,Lower(0-10),0,1,No recorder(0),0,R,75,John Trautwein,205
Weighter(24-27),24.306797099,Lower(0-10),0,1,No recorder(0),0,R,77,Andy Replogle,205
Normal(19-24),22.496,Lower(0-10),0,1,No recorder(0),0,L,75,Zach Crouch,180
Weighter(24-27),24.405141678,Median(10-40),38,1,Median(0.2-0.28),.251,R,73,Benny Ayala,185
Normal(19-24),23.733552632,Lower(0-10),0,1,No recorder(0),0,R,76,Ron Romanick,195
Normal(19-24),22.955102041,Lower(0-10),7,1,High(>0.28),.287,L,70,Greg Gross,160
Weighter(24-27),27.495111111,Lower(0-10),0,1,No recorder(0),0,L,75,Bruce Tanner,220
Weighter(24-27),25.765817901,Lower(0-10),8,1,Median(0.2-0.28),.227,R,72,Sal Butera,190
Normal(19-24),23.672448980,Median(10-40),30,1,Median(0.2-0.28),.245,L,70,Jack Brohamer,165
Weighter(24-27),24.389795918,Median(10-40),30,1,Median(0.2-0.28),.273,L,70,Von Joshua,170
Weighter(24-27),24.125967070,High(40-180),42,1,Median(0.2-0.28),.253,L,71,Eddie Milner,173
Normal(19-24),23.745543254,Median(10-40),18,1,Median(0.2-0.28),.244,R,73,Johnny Jeter,180
Weighter(24-27),24.409722222,Lower(0-10),2,1,Median(0.2-0.28),.212,R,72,Angel Salazar,180
Normal(19-24),23.085944830,Excellent(>180),220,1,High(>0.28),.304,L,73,Tony Oliva,175
Normal(19-24),23.745777778,High(40-180),91,1,Median(0.2-0.28),.256,R,75,Cito Gaston,190
Normal(19-24),22.955102041,High(40-180),54,1,Median(0.2-0.28),.263,R,70,Cookie Rojas,160
Normal(19-24),23.707597699,Lower(0-10),6,1,Low(0-0.2),.195,R,71,Rich Morales,170
Normal(19-24),23.125,Lower(0-10),0,1,No recorder(0),0,R,76,Dave Ford,190
Weighter(24-27),24.405141678,High(40-180),121,1,Median(0.2-0.28),.27,R,73,Dan Ford,185
Weighter(24-27),25.107142857,Lower(0-10),0,1,No recorder(0),0,B,70,Barry Raziano,175
Fat(>27),28.940978786,High(40-180),44,1,Median(0.2-0.28),.243,R,69,Darryl Motley,196
Normal(19-24),23.745543254,High(40-180),98,1,Median(0.2-0.28),.243,R,73,Ozzie Virgil,180
Weighter(24-27),26.217813926,Median(10-40),14,1,Median(0.2-0.28),.25,L,71,Johnny Oates,188
Normal(19-24),23.731674383,Lower(0-10),0,1,No recorder(0),0,L,72,Pat Underwood,175
Normal(19-24),23.053626543,Median(10-40),11,1,Median(0.2-0.28),.24,L,72,Mike Phillips,170
Weighter(24-27),25.765817901,Excellent(>180),342,1,Median(0.2-0.28),.277,R,72,Ron Santo,190
Normal(19-24),23.085944830,High(40-180),102,1,Median(0.2-0.28),.267,L,73,Jay Johnstone,175
Weighter(24-27),25.799444555,High(40-180),170,1,Median(0.2-0.28),.278,R,71,Jim Ray Hart,185
Weighter(24-27),25.620444444,Median(10-40),34,1,Median(0.2-0.28),.223,R,75,Marc Hill,205
Weighter(24-27),25.087770062,Lower(0-10),0,1,No recorder(0),0,L,72,Joel McKeon,185
Normal(19-24),21.871111111,Lower(0-10),0,1,No recorder(0),0,R,75,Danny Fife,175
Normal(19-24),22.955102041,Median(10-40),31,1,Median(0.2-0.28),.249,R,70,Chico Salmon,160
Weighter(24-27),24.405141678,Lower(0-10),1,1,Low(0-0.2),.156,R,73,Joe Niekro,185
Weighter(24-27),25.064740101,High(40-180),49,1,Median(0.2-0.28),.235,R,73,Andy Etchebarren,190
Normal(19-24),23.731674383,High(40-180),58,1,Median(0.2-0.28),.255,R,72,Ken Berry,175
Normal(19-24),19.898648649,High(40-180),101,1,Median(0.2-0.28),.267,R,74,Dave Concepcion,155
Weighter(24-27),25.799444555,Lower(0-10),7,1,Median(0.2-0.28),.264,R,71,Junior Moore,185
Normal(19-24),23.053626543,Lower(0-10),4,1,Median(0.2-0.28),.226,R,72,Mike Richardt,170
Weighter(24-27),25.087770062,Median(10-40),38,1,Median(0.2-0.28),.269,R,72,Chris Brown,185
Weighter(24-27),25.845588235,High(40-180),54,1,High(>0.28),.281,L,68,Al Bumbry,170
Weighter(24-27),24.404879984,Lower(0-10),2,1,Low(0-0.2),.127,R,71,Al Downing,175
Weighter(24-27),25.765817901,Lower(0-10),0,1,Median(0.2-0.28),.229,B,72,Bob Didier,190
Weighter(24-27),24.409722222,Median(10-40),25,1,Median(0.2-0.28),.233,L,72,Jake Gibbs,180
Normal(19-24),23.731674383,Median(10-40),12,1,Median(0.2-0.28),.247,L,72,Garry Hancock,175
Weighter(24-27),25.620444444,High(40-180),118,1,Median(0.2-0.28),.261,L,75,Ed Kranepool,205
Weighter(24-27),24.370666667,Lower(0-10),9,1,Median(0.2-0.28),.238,R,75,Rick Rhoden,195
Weighter(24-27),24.405141678,Lower(0-10),1,1,Low(0-0.2),.133,R,73,Denny McLain,185
Normal(19-24),23.707597699,Median(10-40),20,1,Median(0.2-0.28),.243,L,71,Chuck Hiller,170
Weighter(24-27),24.389795918,High(40-180),130,1,Median(0.2-0.28),.278,L,70,Jorge Orta,170
Normal(19-24),23.707597699,Median(10-40),21,1,High(>0.28),.283,R,71,Dave Cash,170
Weighter(24-27),25.101869355,Median(10-40),40,1,Median(0.2-0.28),.247,R,69,Bucky Dent,170
Weighter(24-27),25.620444444,Lower(0-10),0,1,No recorder(0),0,R,75,Andy Beene,205
Weighter(24-27),25.064740101,Lower(0-10),0,1,No recorder(0),0,L,73,Bruce Robbins,190
Weighter(24-27),25.101869355,High(40-180),103,1,High(>0.28),.286,L,69,Tony Gonzalez,170
Weighter(24-27),25.102162269,Lower(0-10),0,1,No recorder(0),0,R,71,Leon Hooten,180
Weighter(24-27),25.033783784,Median(10-40),12,1,Median(0.2-0.28),.215,R,74,Larry Haney,195
Weighter(24-27),24.409722222,Median(10-40),40,1,Median(0.2-0.28),.256,R,72,Billy Conigliaro,180
Weighter(24-27),25.620444444,High(40-180),121,1,Median(0.2-0.28),.247,R,75,Gary Roenicke,205
Weighter(24-27),25.033783784,High(40-180),122,1,Median(0.2-0.28),.238,R,74,Don Lock,195
Normal(19-24),23.053626543,Median(10-40),40,1,Median(0.2-0.28),.236,R,72,Billy Cowan,170
Normal(19-24),23.75,Median(10-40),17,1,Median(0.2-0.28),.23,B,74,Billy Smith,185
Weighter(24-27),25.824489796,Lower(0-10),0,1,No recorder(0),0,R,70,Allan Ramirez,180
Normal(19-24),22.466216216,Excellent(>180),379,1,Median(0.2-0.28),.279,R,74,Tony Perez,175
Normal(19-24),22.955102041,Median(10-40),23,1,Median(0.2-0.28),.239,R,70,Chuck Schilling,160
Weighter(24-27),25.102162269,Excellent(>180),191,1,High(>0.28),.29,R,71,Hal McRae,180
Weighter(24-27),26.870222222,High(40-180),49,1,Median(0.2-0.28),.239,R,75,Dave Roberts,215
Normal(19-24),23.085944830,Lower(0-10),0,1,No recorder(0),0,R,73,Brian Allard,175
Weighter(24-27),24.409722222,High(40-180),74,1,Median(0.2-0.28),.251,B,72,Jim Lefebvre,180
Normal(19-24),23.108108108,Lower(0-10),0,1,No recorder(0),0,R,74,Fernando Arroyo,180
Weighter(24-27),24.950657895,Lower(0-10),0,1,No recorder(0),0,R,76,Gary Beare,205
Weighter(24-27),26.870222222,High(40-180),65,1,Median(0.2-0.28),.246,R,75,Charlie Spikes,215
Normal(19-24),23.672448980,Lower(0-10),0,1,No recorder(0),0,L,70,Brian Dubois,165
Weighter(24-27),24.409722222,Median(10-40),24,1,Median(0.2-0.28),.23,L,72,Steve Whitaker,180
Weighter(24-27),24.405141678,Median(10-40),26,1,Median(0.2-0.28),.272,L,73,Manny Jimenez,185
Normal(19-24),23.733552632,Lower(0-10),0,1,No recorder(0),0,R,76,Chris Batton,195
Weighter(24-27),25.358989198,Median(10-40),30,1,Median(0.2-0.28),.221,R,72,Duffy Dyer,187
Normal(19-24),23.108108108,High(40-180),122,1,Median(0.2-0.28),.257,B,74,Ken Henderson,180
Weighter(24-27),24.306797099,Lower(0-10),0,1,No recorder(0),0,L,77,Vance Lovelace,205
Weighter(24-27),25.381075183,Lower(0-10),0,1,No recorder(0),0,R,71,Greg Thayer,182
Normal(19-24),22.426346406,Median(10-40),14,1,Median(0.2-0.28),.232,R,73,Vern Fuller,170
Normal(19-24),23.713948389,Lower(0-10),0,1,No recorder(0),0,R,77,Paul Hartzell,200
Weighter(24-27),26.959459459,High(40-180),121,1,Median(0.2-0.28),.233,L,74,Wayne Gross,210
Weighter(24-27),25.087770062,Lower(0-10),2,1,Median(0.2-0.28),.229,R,72,Mike Champion,185
Weighter(24-27),26.443865741,Lower(0-10),0,1,No recorder(0),0,L,72,Ralph Botting,195
Normal(19-24),21.907894737,High(40-180),50,1,Median(0.2-0.28),.225,R,76,Paul Casanova,180
Normal(19-24),22.466216216,Lower(0-10),0,1,Low(0-0.2),.138,R,74,Steve Rogers,175
Normal(19-24),23.108108108,Lower(0-10),0,1,No recorder(0),0,R,74,Keith Creel,180
Weighter(24-27),24.409722222,High(40-180),42,1,Median(0.2-0.28),.25,L,72,Terry Crowley,180
Weighter(24-27),25.101869355,Median(10-40),27,1,Median(0.2-0.28),.256,B,69,Horace Clarke,170
Weighter(24-27),24.405141678,High(40-180),65,1,Median(0.2-0.28),.247,R,73,Lou Clinton,185
Weighter(24-27),25.537551020,Median(10-40),12,1,Median(0.2-0.28),.221,R,70,Larry Cox,178
Weighter(24-27),24.391891892,High(40-180),173,1,Median(0.2-0.28),.243,R,74,Nate Colbert,190
Weighter(24-27),24.391891892,High(40-180),43,1,Median(0.2-0.28),.215,R,74,Phil Roof,190
Normal(19-24),23.745543254,High(40-180),113,1,Median(0.2-0.28),.264,R,73,Chuck Hinton,180
Weighter(24-27),24.405141678,Lower(0-10),9,1,Median(0.2-0.28),.22,R,73,Tim Cullen,185
Normal(19-24),23.364864865,Median(10-40),14,1,Median(0.2-0.28),.235,L,74,Tim Harkness,182
Weighter(24-27),25.799444555,Median(10-40),17,1,Median(0.2-0.28),.25,R,71,Rick Bosetti,185
Weighter(24-27),25.087770062,Median(10-40),12,1,Median(0.2-0.28),.269,R,72,Ron Pruitt,185
Normal(19-24),23.745543254,Excellent(>180),348,1,Median(0.2-0.28),.274,R,73,George Foster,180
Normal(19-24),23.528979592,Median(10-40),21,1,Median(0.2-0.28),.253,B,70,Jerry White,164
Weighter(24-27),25.537551020,Median(10-40),22,1,Median(0.2-0.28),.245,R,70,Angel Mangual,178
Weighter(24-27),25.765817901,Median(10-40),24,1,Median(0.2-0.28),.221,R,72,Ken Gerhart,190
Weighter(24-27),25.107142857,Median(10-40),26,1,Median(0.2-0.28),.252,R,70,Mike Hershberger,175
Weighter(24-27),27.365916955,Lower(0-10),5,1,Low(0-0.2),.196,L,68,Jim French,180
Weighter(24-27),24.370666667,Lower(0-10),7,1,Low(0-0.2),.194,L,75,Dave Roberts,195
Normal(19-24),23.75,Median(10-40),12,1,Median(0.2-0.28),.203,L,74,Jim Mason,185
Normal(19-24),22.496,Lower(0-10),0,1,No recorder(0),0,R,75,Mike Smith,180
Weighter(24-27),24.680941358,High(40-180),46,1,Median(0.2-0.28),.248,L,72,Willie Smith,182
Normal(19-24),23.125,Lower(0-10),0,1,No recorder(0),0,R,76,T.R. Bryden,190
Normal(19-24),21.246222222,Lower(0-10),1,1,Median(0.2-0.28),.215,R,75,Jose Arcia,170
Weighter(24-27),24.405141678,High(40-180),147,1,Median(0.2-0.28),.277,L,73,Leon Durham,185
Weighter(24-27),25.799444555,Lower(0-10),0,1,No recorder(0),0,R,71,Tom Makowski,185
Weighter(24-27),24.409722222,Median(10-40),29,1,Median(0.2-0.28),.236,B,72,Paul Householder,180
Weighter(24-27),25.824489796,High(40-180),124,1,Median(0.2-0.28),.237,R,70,Aurelio Rodriguez,180
Normal(19-24),22.375578704,Lower(0-10),8,1,Median(0.2-0.28),.237,B,72,Jimmy Stewart,165
Weighter(24-27),24.409722222,Median(10-40),12,1,Median(0.2-0.28),.229,L,72,Dick Phillips,180
Normal(19-24),22.426346406,High(40-180),42,1,Median(0.2-0.28),.234,R,73,Andres Thomas,170
Normal(19-24),22.466216216,Lower(0-10),0,1,Median(0.2-0.28),.22,L,74,Ed Crosby,175
Weighter(24-27),24.404879984,Median(10-40),25,1,Median(0.2-0.28),.251,R,71,Mike de la Hoz,175
Normal(19-24),21.019483025,Lower(0-10),2,1,Median(0.2-0.28),.255,R,72,Frank Taveras,155
Weighter(24-27),24.138503086,Lower(0-10),3,1,Median(0.2-0.28),.228,R,72,Joe Nossek,178
Normal(19-24),23.731674383,Median(10-40),36,1,Median(0.2-0.28),.232,L,72,Larry Stahl,175
Normal(19-24),23.053626543,High(40-180),165,1,High(>0.28),.284,L,72,Jose Cruz,170
Normal(19-24),22.313033128,Lower(0-10),3,1,Median(0.2-0.28),.205,L,71,Don Mason,160
